
loop:254, bump:19, step:301, totalValence:-340, surprise:0, bigValence:1, compositeCount:506
loop:255, bump:19, step:302, totalValence:-341, surprise:0, bigValence:-1, compositeCount:508
loop:256, bump:19, step:303, totalValence:-342, surprise:0, bigValence:-1, compositeCount:510
loop:257, bump:19, step:304, totalValence:-345, surprise:0, bigValence:-3, compositeCount:512
loop:258, bump:19, step:305, totalValence:-340, surprise:0, bigValence:0, compositeCount:512
loop:258, bump:19, step:306, totalValence:-341, surprise:0, bigValence:0, compositeCount:512
loop:258, bump:19, step:307, totalValence:-336, surprise:0, bigValence:9, compositeCount:512
loop:259, bump:19, step:308, totalValence:-338, surprise:0, bigValence:-2, compositeCount:515
loop:260, bump:19, step:309, totalValence:-341, surprise:0, bigValence:-3, compositeCount:517
loop:261, bump:20, step:310, totalValence:-351, surprise:3, bigValence:-10, compositeCount:519
loop:262, bump:20, step:311, totalValence:-352, surprise:0, bigValence:-1, compositeCount:521
loop:263, bump:20, step:312, totalValence:-353, surprise:0, bigValence:-1, compositeCount:523
loop:264, bump:20, step:313, totalValence:-356, surprise:0, bigValence:0, compositeCount:523
loop:264, bump:20, step:314, totalValence:-357, surprise:0, bigValence:0, compositeCount:523
loop:264, bump:20, step:315, totalValence:-352, surprise:0, bigValence:1, compositeCount:523
loop:265, bump:20, step:316, totalValence:-355, surprise:0, bigValence:-3, compositeCount:525
loop:266, bump:20, step:317, totalValence:-350, surprise:0, bigValence:0, compositeCount:525
loop:266, bump:20, step:318, totalValence:-351, surprise:0, bigValence:0, compositeCount:525
loop:266, bump:20, step:319, totalValence:-346, surprise:0, bigValence:9, compositeCount:527
loop:267, bump:20, step:320, totalValence:-348, surprise:0, bigValence:-2, compositeCount:530
